iter	Passed	Remaining
0	44	44356
1	44	22350
2	46	15428
3	54	13572
4	57	11541
5	64	10695
6	73	10474
7	77	9602
8	92	109	119	107	10607
10	118	10683
11	136	11270
12	141	10705
13	144	10142
14	149	9827
15	158	9749
16	182	10531
17	199	10892
18	210	10885
19	219	10769
20	230	10732
21	239	10651
22	248	10545
23	258	10503
24	273	10650
25	286	10716
26	305	11019
27	309	10760
28	322	10787
29	332	10752
30	334	10471
31	351	10635
32	353	10358
33	357	10155
34	368	10151
35	375	10048
36	386	10064
37	399	10120
38	407	10040
39	420	10102
40	421	9855
41	422	9631
42	424	9437
43	424	9222
44	425	9025
45	425	8829
46	427	8668
47	428	8489
48	428	8316
49	429	8162
50	431	8024
51	431	7869
52	432	7720
53	432	7575
54	434	7461
55	435	7346
56	436	7216
57	436	7090
58	437	6969
59	437	6860
60	438	6747
61	439	6641
62	441	6560
63	441	6456
64	442	6367
65	443	6269
66	443	6180
67	445	6109
68	446	6020
69	446	5937
70	447	5852
71	449	5791
72	457	5812
73	474	5935
74	478	5898
75	483	5873
76	491	5889
77	512	6060
78	526	6133
79	526	6058
80	528	6000
81	529	5925
82	529	5852
83	530	5786
84	533	5744
85	535	5691
86	536	5625
87	536	5563
88	537	5504
89	543	5492
90	543	5431
91	544	5370
92	544	5311
93	545	5259
94	547	5213
95	547	5157
96	550	5120
97	559	5153
98	566	5153
99	571	5143
100	579	5156
101	581	5120
102	597	5201
103	598	5157
104	601	5124
105	601	5073
106	602	5030
107	603	4981
108	603	4933
109	604	4887
110	604	4841
111	605	4800
112	609	4786
113	611	4750
114	611	4706
115	621	4738
116	631	4768
117	632	4726
118	635	4708
119	637	4677
120	638	4637
121	638	4596
122	640	4568
123	641	4530
124	643	4503
125	643	4466
126	644	4429
127	644	4392
128	645	4356
129	645	4320
130	645	4285
131	646	4250
132	646	4216
133	649	4199
134	650	4166
135	650	4133
136	651	4101
137	651	4069
138	651	4037
139	652	4006
140	652	3976
141	657	3971
142	657	3941
143	659	3918
144	659	3889
145	662	3874
146	662	3846
147	663	3822
148	664	3794
149	664	3767
150	666	3744
151	666	3717
152	666	3691
153	667	3665
154	667	3640
155	668	3615
156	668	3589
157	670	3571
158	671	3550
159	672	3528
160	673	3507
161	673	3483
162	674	3464
163	676	3450
164	677	3427
165	677	3405
166	678	3383
167	678	3361
168	679	3343
169	682	3332
170	683	3311
171	684	3292
172	684	3271
173	687	3262
174	687	3241
175	687	3220
176	689	3204
177	689	3185
178	690	3165
179	690	3145
180	690	3126
181	691	3109
182	693	3096
183	694	3078
184	694	3059
185	694	3040
186	695	3022
187	695	3004
188	696	2986
189	696	2969
190	696	2951
191	697	2934
192	697	2917
193	699	2907
194	700	2891
195	700	2874
196	701	2858
197	701	2842
