,EPOCH,h1,h2,h3,lr,h4,seed
NX1301,85.0,384.0,432.0,384.0,0.009852875297378917,0.0,1.0
NX1302,55.0,288.0,264.0,264.0,0.0156427422505246,288.0,8.0
NX1303,65.0,480.0,288.0,480.0,0.00016388938266811948,0.0,3.0
NX1304,65.0,24.0,216.0,24.0,0.004679145075418746,0.0,8.0
NX1305,180.0,216.0,96.0,96.0,0.028084553183650596,216.0,0.0
NX1306,95.0,312.0,384.0,384.0,0.00409862747255361,312.0,4.0
NX1307,135.0,456.0,312.0,312.0,0.01538759522523544,456.0,7.0
NX1308,25.0,216.0,216.0,216.0,0.009499337177614954,312.0,6.0
NX1309,175.0,264.0,96.0,96.0,0.00015935567115067645,264.0,4.0
NX1310,140.0,360.0,24.0,24.0,0.00028714187748786853,360.0,6.0
NX1311,45.0,432.0,48.0,144.0,0.00665190430417962,96.0,1.0
NX1312,80.0,168.0,120.0,168.0,0.009418794640606937,0.0,5.0
NX1313,200.0,240.0,312.0,312.0,0.01711117787108879,240.0,0.0
NX1314,185.0,384.0,312.0,312.0,0.000133339829199801,384.0,3.0
NX1315,75.0,288.0,240.0,240.0,0.0001613154856061205,288.0,9.0
NX1316,20.0,24.0,192.0,480.0,0.0026180986567059766,408.0,8.0
NX1317,45.0,432.0,480.0,240.0,0.00893394622158505,24.0,9.0
NX1318,55.0,264.0,432.0,432.0,0.01270069339006467,264.0,1.0
NX1319,70.0,48.0,288.0,288.0,0.023874586356203563,48.0,3.0
NX1320,160.0,144.0,240.0,240.0,0.0019620742384002495,144.0,6.0
NX1321,120.0,192.0,24.0,24.0,0.00011892254557699479,192.0,1.0
NX1322,160.0,312.0,24.0,24.0,0.00011536397924493105,312.0,9.0
NX1323,125.0,384.0,384.0,384.0,0.01706053464816257,384.0,3.0
NX1324,65.0,432.0,456.0,168.0,0.007309997259612057,384.0,9.0
NX1325,105.0,360.0,168.0,168.0,0.00010047838846961925,360.0,6.0
NX1326,75.0,288.0,72.0,288.0,0.002111000578153444,0.0,0.0
NX1327,180.0,456.0,168.0,168.0,0.000100416010251353,456.0,8.0
NX1328,80.0,360.0,312.0,312.0,0.0168077170942528,360.0,7.0
NX1329,70.0,240.0,144.0,144.0,0.0007561042727238361,240.0,8.0
NX1330,55.0,96.0,456.0,96.0,0.0005295037910346997,432.0,3.0
NX1331,100.0,168.0,48.0,48.0,0.000840050204594245,168.0,9.0
NX1332,190.0,288.0,360.0,360.0,0.0003807308169095155,288.0,9.0
NX1333,70.0,288.0,192.0,288.0,0.008406610339544943,0.0,1.0
NX1334,85.0,48.0,432.0,432.0,0.018059654600970962,48.0,0.0
NX1335,85.0,432.0,336.0,336.0,0.027197771283687517,432.0,8.0
NX1336,115.0,336.0,120.0,120.0,0.00018111200090676702,336.0,4.0
NX1337,70.0,24.0,144.0,144.0,0.08153016824356774,24.0,4.0
NX1338,160.0,336.0,336.0,336.0,0.0047585084585553,336.0,8.0
NX1339,55.0,144.0,336.0,336.0,0.0001451282616024215,144.0,3.0
NX1340,75.0,384.0,24.0,24.0,0.0004379612201788376,384.0,6.0
NX1341,100.0,240.0,48.0,48.0,0.0056491399507233465,240.0,9.0
NX1342,60.0,144.0,336.0,336.0,0.00016757802534081084,144.0,8.0
NX1343,135.0,312.0,216.0,216.0,0.025721532458676664,312.0,9.0
NX1344,70.0,456.0,240.0,240.0,0.0005745652386458133,456.0,8.0
NX1345,70.0,432.0,312.0,312.0,0.00021406028584693238,432.0,3.0
NX1346,90.0,456.0,384.0,384.0,0.016107299233629187,456.0,4.0
NX1347,55.0,360.0,48.0,360.0,0.0006844843801916426,0.0,5.0
NX1348,85.0,384.0,24.0,144.0,0.0008006867673571868,384.0,9.0
NX1349,75.0,408.0,360.0,408.0,0.007546926324887866,0.0,8.0
NX1350,135.0,168.0,168.0,168.0,0.000289695580935401,168.0,9.0
NX1351,70.0,384.0,336.0,336.0,0.0002054863037372414,384.0,0.0
NX1352,45.0,432.0,144.0,24.0,0.005589393447544152,384.0,4.0
NX1353,60.0,264.0,432.0,336.0,0.00895093551098573,216.0,2.0
NX1354,95.0,144.0,336.0,144.0,0.000784848194438145,0.0,5.0
NX1355,180.0,456.0,384.0,384.0,0.005203359118192685,456.0,8.0
NX1356,125.0,96.0,264.0,264.0,0.0001332820162772483,96.0,9.0
NX1357,200.0,144.0,216.0,216.0,0.014016605689913307,144.0,9.0
NX1358,95.0,264.0,408.0,144.0,0.009068363969650205,288.0,4.0
NX1359,65.0,192.0,288.0,288.0,0.036474532737217076,192.0,5.0
NX1360,10.0,192.0,96.0,312.0,0.0072018514349118205,336.0,6.0
NX1361,55.0,216.0,144.0,144.0,0.01477709520621016,216.0,7.0
NX1362,130.0,432.0,240.0,240.0,0.020985595013270963,432.0,0.0
NX1363,60.0,432.0,144.0,432.0,0.009990714137938055,0.0,9.0
NX1364,110.0,312.0,264.0,264.0,0.00019046747955949315,312.0,8.0
NX1365,120.0,408.0,72.0,72.0,0.0017717199047878871,408.0,3.0
NX1366,75.0,192.0,240.0,240.0,0.0001022010822470439,192.0,3.0
NX1367,50.0,120.0,96.0,96.0,0.09946327652390743,120.0,9.0
NX1368,70.0,288.0,264.0,264.0,0.012117032687409351,288.0,3.0
NX1369,185.0,456.0,312.0,312.0,0.024047525051950142,456.0,4.0
NX1370,135.0,312.0,432.0,432.0,0.013760899641354015,312.0,9.0
NX1371,110.0,336.0,216.0,216.0,0.02369697177072196,336.0,5.0
NX1372,100.0,216.0,336.0,336.0,0.00021447199875955405,216.0,6.0
NX1373,80.0,24.0,48.0,24.0,0.0023153456655944657,0.0,8.0
NX1374,170.0,192.0,168.0,168.0,0.05221938091288569,192.0,7.0
NX1375,70.0,384.0,336.0,384.0,0.007077062569500116,0.0,0.0
NX1376,30.0,360.0,480.0,360.0,0.0064637860981219455,360.0,3.0
NX1377,30.0,72.0,288.0,408.0,0.005656542705757672,408.0,3.0
