,criterion,max_depth,min_samples_leaf,min_samples_split,n_jobs
NX1301,mae,6,5,0.5198464773668477,-1
NX1302,mae,20,10,0.9976158714162611,-1
NX1303,mse,9,2,0.44693535964921527,-1
NX1304,mae,18,6,0.3778452801368243,-1
NX1305,mae,10,5,0.13595746328343417,-1
NX1306,mae,15,4,0.08505541647078013,-1
NX1307,mae,14,10,0.1441275276404705,-1
NX1308,mae,9,9,0.6731293096416907,-1
NX1309,mae,20,4,0.06980171872769608,-1
NX1310,mse,17,7,0.8836911503381701,-1
NX1311,mae,12,4,0.19999190227452368,-1
NX1312,mae,7,4,0.320340717657897,-1
NX1313,mae,9,4,0.1718130596412118,-1
NX1314,mae,16,2,0.022289747925037448,-1
NX1315,mse,14,3,0.6666813229356643,-1
NX1316,mae,2,1,0.9969690703772744,-1
NX1317,mae,15,9,0.39520660495233695,-1
NX1318,mae,7,1,0.7772643159243098,-1
NX1319,mae,7,10,0.6182227880351604,-1
NX1320,mae,6,10,0.5404076991494091,-1
NX1321,mse,8,6,0.004240414057423314,-1
NX1322,mae,4,7,0.6950791890616385,-1
NX1323,mae,20,4,0.4879091879430875,-1
NX1324,mae,4,3,0.725337381993093,-1
NX1325,mae,12,10,0.5561123037833956,-1
NX1326,mae,12,2,0.3080398166038679,-1
NX1327,mae,6,5,0.5459850535705011,-1
NX1328,mse,2,1,0.03190497384629955,-1
NX1329,mae,4,1,0.6592190380581596,-1
NX1330,mae,5,3,0.41113469805474046,-1
NX1331,mae,18,2,0.3281466238626869,-1
NX1332,mae,20,4,0.20695143800465693,-1
NX1333,mae,17,2,0.44314146568711443,-1
NX1334,mae,9,5,0.02860467218398899,-1
NX1335,mae,15,2,0.8266071934955752,-1
NX1336,mae,5,5,0.0026528538000306226,-1
NX1337,mae,18,5,0.3642225116366541,-1
NX1338,mae,8,2,0.3904263532083961,-1
NX1339,mae,18,1,0.8944493819138502,-1
NX1340,mae,3,2,0.2339908050131977,-1
NX1341,mae,9,1,0.00655330617949057,-1
NX1342,mae,6,4,0.03882565490887202,-1
NX1343,mae,14,9,0.25455443969549174,-1
NX1344,mse,4,4,0.24584671480431286,-1
NX1345,mae,7,1,0.6029068895510769,-1
NX1346,mae,6,3,0.470000684347032,-1
NX1347,mae,13,1,0.6461932145686071,-1
NX1348,mae,12,7,0.03597549521771404,-1
NX1349,mae,14,3,0.18061718277882233,-1
NX1350,mae,14,4,0.002706267342033178,-1
NX1351,mae,19,4,0.27368331573952653,-1
NX1352,mae,12,10,0.6753800041662281,-1
NX1353,mae,18,10,0.3701230372076326,-1
NX1354,mse,15,1,0.354598844067665,-1
NX1355,mae,16,5,0.33458410518261583,-1
NX1356,mae,19,3,0.831248742533184,-1
NX1357,mae,20,1,0.980245093021086,-1
NX1358,mae,15,1,0.8482733229385979,-1
NX1359,mae,7,7,0.8073029919941763,-1
NX1360,mae,18,8,0.2626315776050589,-1
NX1361,mae,4,9,0.5564746313763774,-1
NX1362,mae,19,9,0.25779851641246054,-1
