,max_depth,random_state,n_estimators,criterion,n_jobs,bootstrap,min_samples_leaf,min_samples_split
NX1301,64.0,0,168.0,mae,-1,True,94.0,0.240985406
NX1302,78.0,0,673.0,mae,-1,True,93.0,0.259794941
NX1303,52.0,0,423.0,mae,-1,True,10.0,0.549775592
NX1304,46,0,200,mse,-1,True,10,0.6547058243172266
NX1305,17.0,0,543.0,mae,-1,True,55.0,0.325983255
NX1306,96.0,0,274.0,mae,-1,True,4.0,0.360739735
NX1307,3,0,300,mae,-1,True,6,0.9068814399154154
NX1308,85.0,0,109.0,mae,-1,True,50.0,0.19972399899999999
NX1309,49,0,480,mse,-1,False,6,0.5695872183172953
NX1310,39,0,1540,mse,-1,True,2,0.2218380171460534
NX1311,15.0,0,398.0,mae,-1,True,7.0,0.509266005
NX1312,24,0,1410,mae,-1,True,8,0.25640312591321945
NX1313,27,0,1660,mae,-1,True,3,0.29828106033779955
NX1314,20.0,0,684.0,mae,-1,True,81.0,0.5641421839999999
NX1315,24,0,1440,mse,-1,False,5,0.5450851109593631
NX1316,21,0,400,mae,-1,False,5,0.45505675673032236
NX1317,18,0,1760,mae,-1,False,6,0.8694212277351809
NX1318,39,0,320,mae,-1,True,7,0.45561843605589747
NX1319,40.0,0,663.0,mae,-1,True,49.0,0.130010252
NX1320,65.0,0,129.0,mae,-1,True,61.0,0.48746467200000004
NX1321,2,0,160,mae,-1,True,4,0.019718325034806444
NX1322,19,0,450,mae,-1,False,8,0.47177080827387485
NX1323,44,0,1230,mae,-1,True,1,0.3215086676213167
NX1324,96.0,0,430.0,mae,-1,True,2.0,0.721879917
NX1325,44.0,0,847.0,mae,-1,True,3.0,0.38935413399999996
NX1326,22,0,1690,mae,-1,True,7,0.13848128695820897
NX1327,38.0,0,458.0,mae,-1,True,35.0,0.6806988559999999
NX1328,15,0,1030,mse,-1,True,3,0.1007736518046716
NX1329,28,0,1980,mse,-1,True,4,0.07074920159664566
NX1330,20,0,1300,mae,-1,True,1,0.4273170476742384
NX1331,50,0,520,mae,-1,True,7,0.005306537215744145
NX1332,10,0,1710,mae,-1,False,5,0.14903882145580166
NX1333,14,0,1220,mae,-1,True,1,0.39384045901252496
NX1334,22,0,1750,mae,-1,False,5,0.026564961891667405
NX1335,2,0,1310,mae,-1,False,10,0.8001294467362848
NX1336,56.0,0,681.0,mae,-1,True,4.0,0.44450696799999995
NX1337,21,0,900,mae,-1,True,3,0.16301186877992602
NX1338,15,0,810,mae,-1,False,2,0.2310206995070592
NX1339,89.0,0,923.0,mae,-1,True,6.0,0.068595858
NX1340,17,0,1690,mse,-1,False,2,0.9845980436178222
NX1341,25,0,570,mse,-1,True,2,0.11952288531913224
NX1342,79.0,0,464.0,mae,-1,True,61.0,0.443923344
NX1343,50,0,1970,mse,-1,True,5,0.6328740032464467
NX1344,75.0,0,318.0,mae,-1,True,1.0,0.028247678999999998
NX1345,25,0,650,mse,-1,False,8,0.21984172382478284
NX1346,5.0,0,223.0,mae,-1,True,5.0,0.468707834
NX1347,30,0,1650,mae,-1,True,2,0.5399939705457202
NX1348,14.0,0,488.0,mae,-1,True,5.0,0.468588664
NX1349,33,0,1990,mae,-1,False,5,0.15876819804698827
NX1350,48,0,1030,mse,-1,True,2,0.040705238589178086
NX1351,74.0,0,748.0,mae,-1,True,38.0,0.41875224299999997
NX1352,3,0,120,mae,-1,True,1,0.9712309067262312
NX1353,63.0,0,593.0,mae,-1,True,41.0,0.304410067
NX1354,30,0,1970,mse,-1,False,1,0.12516339735689602
NX1355,41,0,1520,mae,-1,True,3,0.9853810909505519
NX1356,36.0,0,415.0,mae,-1,True,40.0,0.333926455
NX1357,5,0,120,mse,-1,False,2,0.004655039994689331
NX1358,39,0,850,mae,-1,True,6,0.659299996937383
