,C,epsilon,gamma,kernel
NX1301,6.7802970154194675,0.2972750683845131,0.019951657017926932,poly
NX1302,3.0085844312742687,0.0007768683990293816,1.2726962196884603e-07,sigmoid
NX1303,5.98896396643239,0.041988880000569474,0.03886454606623859,sigmoid
NX1304,1.4207945074976502,0.030046822231464664,0.05292232289964387,rbf
NX1305,1.0033465685571787,0.04388800972653081,0.03402243556491154,rbf
NX1306,6.397063189609617,0.02436280783699989,0.007403964775964379,rbf
NX1307,4.410458295576085,0.05263064209907769,0.019284496312546067,sigmoid
NX1308,1.7725517274265177,0.02127212610140059,0.03159475459546331,sigmoid
NX1309,1.515396720267603,0.0006337762128933674,0.09618140633230624,rbf
NX1310,6.10931247300663,0.004677177843924164,0.07097545467945257,poly
NX1311,3.2651165651726997,0.03426720549747387,0.09967010889915735,sigmoid
NX1312,5.664292819957942,0.0257044045814987,1.485516638081921e-07,poly
NX1313,1.2587367420817488,0.003714137551363266,0.09566464127185301,sigmoid
NX1314,1.5004804889873427,0.0037835866628917773,0.047994563028664915,rbf
NX1315,5.121977739706201,0.001288171422428569,0.014724618460791932,rbf
NX1316,7.04858723353575,0.019662658090991613,0.0004576481510541814,rbf
NX1317,3.4064018808391805,0.02419539643327336,0.007297019019239469,sigmoid
NX1318,2.2090639244289947,0.007650214090015591,0.010844523438128452,sigmoid
NX1319,3.4031685670095944,0.0019418968144605262,0.003339716809206796,rbf
NX1320,9.98095325025957,0.03174060566355885,0.0025317917312800667,sigmoid
NX1321,3.7086670225148604,0.049939889166334205,0.023782323025900245,sigmoid
NX1322,7.785136168218956,0.005288945996099188,1.6619510056791144e-06,rbf
NX1323,2.2503671225288566,0.00558822028452736,0.011157162230836454,rbf
NX1324,8.440105505148628,0.006594579411775086,9.022067950716188e-05,sigmoid
NX1325,1.2343094023606618,0.04976095959755963,0.07836837660983277,poly
NX1326,2.6974294237327294,0.019870539267581283,0.08027991399977157,rbf
NX1327,4.383488069358272,0.004477715986196276,0.09874724440491946,poly
NX1328,3.530025116815681,0.03216885386037935,0.016494087392916454,sigmoid
NX1329,7.873319301892455,0.00012852503667824355,0.008899023184152692,sigmoid
NX1330,1.6583788504544739,0.04847336061735574,0.07724484800146747,sigmoid
NX1331,3.162367713600756,0.0015270042956614382,0.018690420839897148,rbf
NX1332,5.632439250698707,0.0003785948989568248,0.0002022250361766777,linear
NX1333,4.433587158840227,0.0017746241454653644,0.05576678584474942,sigmoid
NX1334,3.1203591423643533,0.02833915351239069,1.3228683121128381e-07,poly
NX1335,8.360521757251838,0.0003913671015965403,0.0033738595565990237,sigmoid
