,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1301,1000.0,17.266318359679257,24.238514032491516,18.834771710873188,1000.0,23.008094017652382,1000.0,30.042221584560895,23.023108810786542,1000.0,17.266318359679257,lin,8760
NX1428,1000.0,36.96437918802315,23.017419910836757,28.622305252759745,1000.0,32.46134730165819,1000.0,32.92951923324421,32.45576808147146,1000.0,23.017419910836757,Mac,8760
NX1429,1000.0,34.49933456971212,29.026970379091246,28.293981094836912,1000.0,33.40594655711763,1000.0,39.115096531300324,30.228961436941326,1000.0,28.293981094836912,sim,8760
NX1430,1000.0,41.80446083439866,36.89435988512952,36.51944747325252,1000.0,43.32772625446469,1000.0,50.46885784293024,41.45507743806122,1000.0,36.51944747325252,sim,8760
NX1431,1000.0,7.8076448006867185,7.96002715711421,8.510960640255494,1000.0,9.704640800063766,1000.0,8.513007784154725,9.325804368288358,1000.0,7.8076448006867185,lin,8760
NX1432,1000.0,45.48177151152142,36.07710814789161,34.412665983351914,1000.0,40.760911511835054,1000.0,45.86020728873566,37.18493399664957,1000.0,34.412665983351914,sim,8760
NX1433,1000.0,44.710190972821984,46.05131579055756,50.89759467966976,1000.0,48.87193976271794,1000.0,58.930484784479205,54.28197597898688,1000.0,44.710190972821984,lin,8760
NX1434,1000.0,52.158252952275355,39.88078963886651,37.06244306008476,1000.0,44.465334624713044,1000.0,45.35355492502839,42.136132141278914,1000.0,37.06244306008476,sim,8760
NX1435,1000.0,34.59411514690494,28.370227664753894,27.73187187472497,1000.0,30.112246184068805,1000.0,39.73760286170063,29.613309311855595,1000.0,27.73187187472497,sim,8760
NX1436,1000.0,52.413109574202906,35.356084827432355,33.432399712313064,1000.0,35.93362891934443,1000.0,42.31598936034907,38.018092062154295,1000.0,33.432399712313064,sim,8760
NX1437,1000.0,53.56409093048849,40.30750629371795,33.052234686251566,1000.0,58.54641970823495,1000.0,42.01664807595574,54.01077752671053,1000.0,33.052234686251566,sim,8760
NX1438,1000.0,38.718959534197325,33.38661368628594,33.44794533324206,1000.0,35.482858801770504,1000.0,43.87887333420766,35.27808063153845,1000.0,33.38661368628594,Mac,8760
NX1439,1000.0,35.138037616977364,36.433087912335495,46.972271655234714,1000.0,50.342465807098684,1000.0,43.724102764226174,48.1582509600825,1000.0,35.138037616977364,lin,8760
NX1440,1000.0,37.20008941775896,32.413778948310835,25.184849081529393,1000.0,28.833795340037312,1000.0,33.56641697605141,37.22794386786755,1000.0,25.184849081529393,sim,8760
NX1441,1000.0,18.888871722086254,25.54519797498923,40.17295211615367,1000.0,27.596471323539447,1000.0,31.25875229374832,41.56862870167185,1000.0,18.888871722086254,lin,8760
NX1442,1000.0,28.64666029180264,27.306434271980894,28.20073503804653,1000.0,31.993368092122942,1000.0,37.93384468761333,30.812777234916997,1000.0,27.306434271980894,Mac,8760
NX1443,1000.0,19.050625015033944,22.753441084822338,22.30017649555992,1000.0,32.8122204730599,1000.0,33.55666067335216,23.146082375967197,1000.0,19.050625015033944,lin,8760
NX1444,1000.0,51.223273195960836,53.5227816714394,49.51019321765191,1000.0,58.77142826343313,1000.0,64.49473386005782,54.34900742850747,1000.0,49.51019321765191,sim,8760
NX1445,1000.0,45.50059224953416,43.773756973849515,41.143442156508,1000.0,53.93965187741409,1000.0,39.94257296518503,64.38714084763434,1000.0,39.94257296518503,dct,8760
NX1446,1000.0,28.970607257257026,25.20216863460039,23.790214621785065,1000.0,28.2420364357012,1000.0,36.86246304545105,25.650087386135084,1000.0,23.790214621785065,sim,8760
NX1447,1000.0,21.929163308166803,19.17208174619152,18.131464130798907,1000.0,21.054942232370994,1000.0,25.97185461846617,19.31459336373088,1000.0,18.131464130798907,sim,8760
NX1448,1000.0,11.652791096275756,9.098727694878848,8.73796925033529,1000.0,9.695621477160977,1000.0,12.468800794945048,9.74453297087684,1000.0,8.73796925033529,sim,8760
NX1427,1000.0,45.314795575727885,39.4199466616652,40.25473286193562,1000.0,43.67328885730303,1000.0,50.480606427752015,43.23373777342903,1000.0,39.4199466616652,Mac,8760
